strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,set,sigma_calibrated,r,group_strike
38.0,4.95,4.741418711563005,0.20858128843699486,0.04350615388603685,0.9207656893627332,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,train,0.19115808923370206,0.02,38.0
38.0,5.59,5.1967081100262815,0.39329188997371833,0.15467851071909935,0.9207656893627332,2026-04-13,MAR 2027,0.9315068493150684,41.27,165.0,train,0.19115808923370206,0.02,38.0
38.0,4.29,4.227016897494795,0.06298310250520522,0.003966871201181188,0.9207656893627332,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,train,0.19115808923370206,0.02,38.0
38.0,4.81,4.647439889750764,0.16256011024923556,0.02642578944424362,0.9216589861751153,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.19115808923370206,0.02,38.0
38.0,3.96,3.7077718577961525,0.2522281422038475,0.06361903571960431,0.9216589861751153,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.19115808923370206,0.02,38.0
38.0,3.76,3.5112105807206544,0.2487894192793454,0.061896175145353914,0.9216589861751153,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.19115808923370206,0.02,38.0
38.0,3.52,3.286512179768794,0.23348782023120584,0.054516562196319895,0.9216589861751153,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,train,0.19115808923370206,0.02,38.0
38.0,3.18,3.7591142923805685,0.5791142923805683,0.33537336363944636,0.910615863886892,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,test,0.19115808923370206,0.02,38.0
38.0,4.95,5.147011550952047,0.19701155095204648,0.038813551208530805,0.910615863886892,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,test,0.19115808923370206,0.02,38.0
38.0,3.57,3.886799811558521,0.3167998115585213,0.10036212060351463,0.910615863886892,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,test,0.19115808923370206,0.02,38.0
