strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,group_strike,sigma_calibrated
46.0,0.62,0.6697664020722304,0.049766402072230376,0.002476694775214896,1.116504854368932,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,46.0,0.18867376052249457
46.0,0.27,0.27261138105083393,0.0026113810508339164,6.819310992654449e-06,1.1023244668104482,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,46.0,0.18867376052249457
46.0,0.14,0.08777790457987153,0.052222095420128484,0.002727147250069004,1.1023244668104482,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,46.0,0.18867376052249457
46.0,0.73,0.7945821695964987,0.06458216959649876,0.004170856629790929,1.1023244668104482,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,46.0,0.18867376052249457
46.0,0.09,0.025762860291814717,0.06423713970818529,0.004126410117888915,1.1146110976496244,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,46.0,0.18867376052249457
46.0,0.66,0.6238012739822317,0.0361987260177683,0.0013103477653094557,1.1146110976496244,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,46.0,0.18867376052249457
46.0,0.17,0.1016337949114775,0.06836620508852251,0.004673937998205921,1.1156924569488238,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,46.0,0.18867376052249457
46.0,0.06,0.004413078765330807,0.05558692123466919,0.0030899058123493167,1.1156924569488238,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,46.0,0.18867376052249457
46.0,0.59,0.5527620945666413,0.0372379054333587,0.0013866616010637651,1.1156924569488238,2026-04-25,SEP 2026,0.4,41.23,150.0,46.0,0.18867376052249457
47.0,0.17,0.18194611330863214,0.011946113308632128,0.00014270962318267764,1.1262880421758927,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,47.0,0.19281096869501288
47.0,0.08,0.04556462810204503,0.034435371897954974,0.001185794837750467,1.1262880421758927,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,47.0,0.19281096869501288
48.0,0.36,0.3740320934833336,0.014032093483333619,0.0001968996475250138,1.1650485436893203,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,48.0,0.18952217096199087
48.0,0.42,0.45246753865571193,0.03246753865571195,0.0010541410663601496,1.1502516175413373,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,48.0,0.18952217096199087
48.0,0.37,0.3383149469537643,0.0316850530462357,0.0010039425865427702,1.1630724497213472,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,48.0,0.18952217096199087
48.0,0.31,0.28834730338077486,0.021652696619225142,0.00046883927088420393,1.1642008246422508,2026-04-25,SEP 2026,0.4,41.23,150.0,48.0,0.18952217096199087
50.0,0.21,0.21488647723034396,0.004886477230343966,2.387765972267004e-05,1.2135922330097086,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,50.0,0.19319833489475782
50.0,0.24,0.2636608460368997,0.02366084603689972,0.0005598356351818731,1.1981787682722262,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,50.0,0.19319833489475782
50.0,0.21,0.18830447754754528,0.021695522452454707,0.0004706956944849663,1.21153380179307,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,50.0,0.19319833489475782
50.0,0.17,0.15411638285816678,0.01588361714183323,0.0002522892935083384,1.212709192335678,2026-04-25,SEP 2026,0.4,41.23,150.0,50.0,0.19319833489475782
