strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,r,options_csv
39.0,2.67,2.6393630727215642,0.0306369272784357,0.0009386213130641574,0.9459131700218288,test,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
42.0,0.79,0.8167693981637848,0.026769398163784763,0.000716600678051243,1.0186757215619695,test,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
43.0,0.45,0.48613635089911184,0.036136350899111824,0.00130583585630374,1.0429299054086831,test,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
41.0,1.61,1.642251458459712,0.032251458459712,0.0010401565727785288,0.994421537715256,train,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
36.0,5.54,5.477158743901054,0.0628412560989462,0.003949023468093342,0.8731506184816882,train,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
45.0,0.28,0.3398733510119612,0.05987335101196117,0.003584818161401512,1.0914382731021102,train,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
46.0,0.17,0.209310117663341,0.039310117663341,0.001545285350705714,1.1156924569488238,train,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
38.0,3.76,3.699047678158661,0.06095232184133881,0.003715185537850148,0.9216589861751153,train,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
37.0,4.63,4.5599044332185255,0.07009556678147444,0.004913388482416143,0.8974048023284017,train,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
44.0,0.47,0.5323059023138232,0.06230590231382327,0.003882025463139688,1.0671840892553965,train,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
40.0,2.23,2.22521651786887,0.00478348213112989,2.2881701298838957e-05,0.9701673538685424,train,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
39.0,2.96,2.9148430330309187,0.045156966969081225,0.002039151665846693,0.9459131700218288,test,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
42.0,1.11,1.1699210192897558,0.059921019289755684,0.003590528552723273,1.0186757215619695,test,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
43.0,0.74,0.8037475262591298,0.06374752625912983,0.004063747104158447,1.0429299054086831,test,2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.02,../data/daily_clean/2026-04-25_options.csv
42.0,1.77,1.7397145886317311,0.0302854113682689,0.0009172061417452711,1.0186757215619695,train,2026-04-25,SEP 2026,2026-09-18,0.4,41.23,150.0,0.18968492833456563,0.02,../data/daily_clean/2026-04-25_options.csv
32.0,9.31,9.442186844036318,0.1321868440363172,0.017473361736281647,0.7761338830948339,train,2026-04-25,SEP 2026,2026-09-18,0.4,41.23,150.0,0.18968492833456563,0.02,../data/daily_clean/2026-04-25_options.csv
48.0,0.31,0.2893411481562199,0.02065885184378008,0.0004267881595032556,1.1642008246422508,train,2026-04-25,SEP 2026,2026-09-18,0.4,41.23,150.0,0.18968492833456563,0.02,../data/daily_clean/2026-04-25_options.csv
50.0,0.17,0.14030680153276567,0.02969319846723434,0.0008816860352145677,1.212709192335678,train,2026-04-25,SEP 2026,2026-09-18,0.4,41.23,150.0,0.18968492833456563,0.02,../data/daily_clean/2026-04-25_options.csv
36.0,5.7,5.716970360989848,0.0169703609898475,0.0002879931521257378,0.8731506184816882,train,2026-04-25,SEP 2026,2026-09-18,0.4,41.23,150.0,0.18968492833456563,0.02,../data/daily_clean/2026-04-25_options.csv
34.0,7.47,7.524677680546873,0.05467768054687294,0.0029896487499858878,0.824642250788261,train,2026-04-25,SEP 2026,2026-09-18,0.4,41.23,150.0,0.18968492833456563,0.02,../data/daily_clean/2026-04-25_options.csv
46.0,0.59,0.561700366112604,0.02829963388739598,0.0008008692781606509,1.1156924569488238,train,2026-04-25,SEP 2026,2026-09-18,0.4,41.23,150.0,0.18968492833456563,0.02,../data/daily_clean/2026-04-25_options.csv
40.0,2.81,2.7638012336353075,0.046198766364692556,0.002134326013619448,0.9701673538685424,train,2026-04-25,SEP 2026,2026-09-18,0.4,41.23,150.0,0.18968492833456563,0.02,../data/daily_clean/2026-04-25_options.csv
