strike,market_price,fem_price,abs_error,sq_error,moneyness,analytic_price,analytic_abs_error,analytic_sq_error,experiment,order,cl1,cl2,theta,nsteps,sigma,r,tau,S0,S_max
46.0,0.11,0.07856957769468692,0.03143042230531308,0.000987871446290322,1.116504854368932,0.07842322898694398,0.00014634870774293818,2.1417944258027933e-08,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
36.0,4.87,5.310849502000968,0.44084950200096795,0.19434828341450144,0.8737864077669902,5.310750595671216,9.89063297520687e-05,9.78246206502495e-09,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
37.0,3.97,4.354654559231425,0.38465455923142455,0.1479591299375215,0.8980582524271844,4.35455577224274,9.878698868437397e-05,9.75886913332663e-09,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
38.0,3.12,3.4457353211876787,0.32573532118767856,0.10610349946924011,0.9223300970873786,3.4456994588190355,3.586236864316916e-05,1.2861094846985629e-09,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
39.0,2.36,2.613435919383437,0.253435919383437,0.06422976523372799,0.9466019417475727,2.6135217598430245,8.58404595875939e-05,7.368584502209341e-09,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
40.0,1.7,1.8880260191400782,0.18802601914007822,0.03535378387366506,0.9708737864077669,1.8882414365962106,0.00021541745613240515,4.64046804065567e-08,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
41.0,1.16,1.2922957284830001,0.1322957284830002,0.01750215977484771,0.9951456310679611,1.2925797385810434,0.0002840100980432414,8.066173579053159e-08,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
42.0,0.75,0.8346926874121757,0.08469268741217573,0.007172851301096509,1.0194174757281553,0.8349465307151647,0.0002538433029889431,6.443642247233636e-08,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
43.0,0.47,0.5074033615432126,0.037403361543212665,0.0013990114547322802,1.0436893203883495,0.5075465363030709,0.00014317475985825556,2.0499011860469147e-08,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
44.0,0.29,0.289904483932743,9.551606725699546e-05,9.123319104242882e-09,1.0679611650485437,0.2899126482612271,8.164328484105976e-06,6.665625959638418e-11,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
45.0,0.18,0.15564209632293063,0.02435790367706936,0.000593307471541389,1.0922330097087378,0.15554535099070765,9.674533222298054e-05,9.359659306934877e-09,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
46.0,0.11,0.07856957825960013,0.031430421740399866,0.0009878714107794005,1.116504854368932,0.07842322898694398,0.0001463492726561516,2.1418109606984606e-08,raffinement_maillage,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
36.0,4.87,5.310849502039161,0.4408495020391605,0.19434828344817578,0.8737864077669902,5.310750595671216,9.890636794462893e-05,9.78246961999832e-09,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
37.0,3.97,4.354654559333343,0.384654559333343,0.1479591300159283,0.8980582524271844,4.35455577224274,9.878709060284763e-05,9.758889269775227e-09,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
38.0,3.12,3.4457353213113926,0.3257353213113925,0.10610349954983611,0.9223300970873786,3.4456994588190355,3.586249235709715e-05,1.2861183580628518e-09,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
39.0,2.36,2.613435919455771,0.25343591945577115,0.06422976527039212,0.9466019417475727,2.6135217598430245,8.584038725345522e-05,7.368572083823157e-09,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
40.0,1.7,1.8880260191262832,0.18802601912628325,0.035353783868477436,0.9708737864077669,1.8882414365962106,0.00021541746992737032,4.64046863499095e-08,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
41.0,1.16,1.292295728422303,0.13229572842230297,0.01750215975878774,0.9951456310679611,1.2925797385810434,0.0002840101587404664,8.066177026778494e-08,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
42.0,0.75,0.8346926873782639,0.08469268737826385,0.007172851295352334,1.0194174757281553,0.8349465307151647,0.0002538433369008164,6.443643968894138e-08,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
43.0,0.47,0.5074033615763992,0.03740336157639923,0.0013990114572148583,1.0436893203883495,0.5075465363030709,0.00014317472667169096,2.0499002357513414e-08,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
44.0,0.29,0.2899044840137231,9.551598627688396e-05,9.123303634445884e-09,1.0679611650485437,0.2899126482612271,8.16424750399447e-06,6.665493730647994e-11,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
45.0,0.18,0.15564209640131407,0.02435790359868592,0.0005933074677228765,1.0922330097087378,0.15554535099070765,9.674541060641917e-05,9.359674473404642e-09,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
46.0,0.11,0.07856957829696495,0.03143042170303505,0.0009878714084306166,1.116504854368932,0.07842322898694398,0.00014634931002097118,2.1418120543614336e-08,raffinement_maillage,2,0.02,0.02,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
36.0,4.87,5.311242015113276,0.4412420151132759,0.19469451590122439,0.8737864077669902,5.310750595671216,0.0004914194420599927,2.414930680345545e-07,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
37.0,3.97,4.355047967781637,0.38504796778163675,0.14826193749276836,0.8980582524271844,4.35455577224274,0.0004921955388965671,2.422564485096821e-07,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
38.0,3.12,3.445880008716359,0.3258800087163589,0.10619778008097416,0.9223300970873786,3.4456994588190355,0.0001805498973235231,3.259826542353474e-08,raffinement_temps_euler,2,0.05,0.05,1.0,100,0.2,0.02,0.12054794520547946,41.2,138.0
